id,novelId,chapterId,summary,keyEvents,characterStates,hook,createdAt,updatedAt
cmr261wyf0488v16zd5auxkou,cmr23pgks000fv16zpwg1ms38,cmr24zoaz01rhv16zmcjv20hl,阿条在茶水间储物隔间与阿力亲密接触，险被同事发现，她挣脱说出“我们不能这样”，两人逃过一劫后回工位扮演陌生人。阿力发来暗语“你稳？”，阿条未回，内心感受到裂缝张开，禁忌之恋的危险氛围与信任悬念正式建立。,阿条从打印机里抽出一沓还温热的A4纸，指尖掠过纸面时，能感觉到碳粉微微凸起的触感；第三页的标题字号错了，正文行距也不对；饮水机的绿灯亮着，空气里残留着速溶咖啡的焦香和一丝柠檬味的洗洁精气味,她把纸张在桌上磕齐，转身往茶水间方向走；经过阿力工位时，余光扫见他正盯着屏幕，左手拇指无意识地捻转着手链上的银珠，右手鼠标滚轮一格格往下翻，眉头微皱，像在审一份很费脑子的报表；他已经一整个上午没看她一眼,,2026-07-01T14:23:52.599+00:00,2026-07-01T15:36:02.349+00:00
cmr269sqg04awv16zq04b13pm,cmr23pgks000fv16zpwg1ms38,cmr24zob501riv16zlk7xxqvy,阿条与阿力在同事面前成功表演陌生人，从惊魂未定转为享受秘密游戏的刺激。小菲午餐时试探两人关系，被阿条淡定化解。陈默发来问候消息，阿条简短回复，态度疏离。阿力在走廊低语“演得不错”，肯定她的演技，两人建立秘密同谋默契。下班前阿力突然私信“今晚有空吗？”，阿条未立即回复，心跳加速，故事停在悬念。,下午两点零三分，表格交上去了；阿条盯着屏幕上“已发送”三个字，把左手从键盘上移开，才发现指尖还在微微发颤；工位隔板那头，小菲正对着电话甜甜地说“好的呀，我马上查一下呢”，声音拖得又软又长,她攥了攥拳，让指甲抵进掌心，那点刺痛让她清醒了些；那张表格她核对了三遍，确定没有错字——第一个单元格她打了“阿”又删掉之后，花了整整二十分钟才让自己不再犯错；小菲说她想吃小炒肉，我觉得酸辣鸡杂也不错，你定,,2026-07-01T14:30:00.376+00:00,2026-07-01T14:30:00.376+00:00
cmr26fey004e5v16za5oxi5kj,cmr23pgks000fv16zpwg1ms38,cmr24zob701rjv16zoa3pmbkg,阿条在天台私会阿力，主导制定三条职场隐蔽规则及附加条件，完成从被动到主动的心理转折。阿力接受规则并请求坦诚，两人正式确立秘密恋爱关系。阿条收下草莓糖纸作为信物，约定明日食堂隔座暗语，结束天台夜话，心态转为期待偷情游戏。,# 天台夜话 阿条没有回消息；阿条听着，应着，手指攥着挂绳上的工卡，指腹贴在塑料壳的棱角上；走廊空荡荡的，灯管在头顶嗡嗡轻响,她跟在李晴身后走出办公室，刷卡通过闸机，等电梯时李晴还在抱怨周五晚高峰的地铁有多挤；电梯门开的时候，她往身后看了一眼；”李晴拽她进电梯,,2026-07-01T14:34:22.440+00:00,2026-07-01T14:34:23.563+00:00
cmr26psbr04miv16z4pu8bnp3,cmr23pgks000fv16zpwg1ms38,cmr24zob901rkv16z4obgdvth,阿条在地铁上设计暗语系统并加密备忘录，次日与阿力共享新增暗语，小菲在打印室差点撞破。食堂隔座用消息交流，天台商定次日规则，阿力提出椅子偏移。下班阿力用'明天的菜谱'作新暗语，阿条回家记录进展，回味刺激期待明日。,阿条在地铁上就把暗语系统想好了；不是那种复杂的密码本，太麻烦，两个人都记不住；“苏打水”=我想和你说话,她想的是编码——把日常对话里嵌进只有他们能解码的信息；她打开备忘录，开始列；她想了想，又加了一条,,2026-07-01T14:42:26.343+00:00,2026-07-01T14:42:26.343+00:00
cmr26y8qd04piv16zacj4p0fq,cmr23pgks000fv16zpwg1ms38,cmr24zobb01rlv16z1chjyonq,阿条用暗语‘明天的菜谱’邀阿力茶水间私会，正逢小菲闯入，两人急智表演脱险。事后新增食堂偏移规则，用暗语交换感受，默契升级，阿条沉溺刺激感。小菲留意手链但未识破，陈默冷淡问候。,午休铃响起时，阿条没有像往常一样跟李晴一起去食堂；” “你先去，我回个消息；李晴的脚步声往电梯方向去了,她盯着电脑屏幕，手指搭在键盘上，等工位区的人声渐渐散尽；李晴临走前拍了拍她的椅背：“今天不去；她锁屏，把手机屏幕朝下扣在桌上,,2026-07-01T14:49:00.853+00:00,2026-07-01T14:49:00.853+00:00
cmr274qxc04sev16zxu284vku,cmr23pgks000fv16zpwg1ms38,cmr24zobd01rmv16z1nhh9ss5,阿条深夜回味茶水间表演，主动打破自己定下的规则，向阿力发送暗语“稳”，阿力以“你也稳”接住，两人在消息中确认彼此享受同一场秘密游戏。阿条意识从被动刺激转向主动沉溺，决定在暴露之前试探界限，结尾以轻快脚步与心头阴影暗示危险与浪漫并存。,阿条以为自己会失眠；三个人在不到四平米的空间里，愣是演了一场什么也没发生的戏；两个人加起来，没有破绽,翻了个身，被子窸窣响了一阵，她把脸埋进枕头里，脑子里还在自动拆解今天茶水间的每一帧——从小菲推门的瞬间，到阿力端起茶杯说“小菲你也来一块”，再到自己接的那句“水还没凉，我再等会儿”；她翻过身平躺，盯着天花板上那块模糊的亮斑，嘴角又翘起来；每确认一次，心跳就快一拍，好像身体在替她庆祝什么了不起的胜利,,2026-07-01T14:54:04.368+00:00,2026-07-01T14:54:04.368+00:00
cmr27cojl04vxv16zzajxdigt,cmr23pgks000fv16zpwg1ms38,cmr24zobf01rnv16zemm40alv,阿条为试探阿力反应，刻意绕开食堂并邀请李响午餐；会议中王总批评阿力，小菲为其辩护并主动示好，阿力温和回应，令阿条心生嫉妒。阿力以暗语“今天稳”保持模糊，阿条则决意在团建中全程冷处理。陈默突然邀约，为后续埋线。甜蜜表象下，占有欲开始侵蚀信任，关系首次出现不和谐音。,星期三上午，阿条到公司比平时晚了十分钟；电梯门开的时候，运营部的大开间已经亮着灯，几个早到的同事各自坐在工位上敲键盘；阿条的座位在靠窗第三排，要经过小菲、阿力和李晴的工位才能到达,不是因为睡过头，而是她出门前在镜子前面多站了一会儿；不是化妆，她平时化妆也就五分钟；今天她多花的时间花在决定要不要戴眼镜上——防蓝光的细框眼镜，戴上显得认真，不戴显得精神,,2026-07-01T15:00:14.529+00:00,2026-07-01T15:00:14.529+00:00
cmr27yo0w04yhv16zs3rrehgx,cmr23pgks000fv16zpwg1ms38,cmr24zobh01rov16z0c34j46e,阿条在团建日全程刻意与阿力保持距离，面对小菲对阿力的不断主动，她内心嫉妒却维持冷漠。阿力通过简短消息“稳不稳”与攀岩时短暂的对视传递默契，但阿条从中感受到的不是刺激，而是沉重的孤独。她首次清醒意识到这场秘密游戏的未来漫长而疲惫，并在深夜预感某一天连眼神都可能传递不出去。,周六早上七点，公司门口停着两辆大巴；阿条到得早，站在台阶边，看见第一辆车已经坐了小半；我刚看见阿力和技术部几个都在那边,李晴在车窗里朝她招手，手里举着半个没吃完的饭团；她走过去，经过第二辆车时扫了一眼——阿力坐在倒数第三排靠窗，正低头看手机，左手腕上的棕色皮绳手链贴在玻璃上；上车后李晴把靠窗的位置让给她，拧开薄荷绿保温杯喝了口水:“说真的，你怎么不坐那辆,,2026-07-01T15:17:20.288+00:00,2026-07-01T15:17:20.288+00:00
cmr284zvw0517v16zida91hdo,cmr23pgks000fv16zpwg1ms38,cmr24zobj01rpv16zet3olxnq,李晴午休试探阿条与阿力的关系，阿条心跳漏拍但否认。阿力坐位精准，小菲跟随。阿条递文件遭阿力冷拒，内心受挫。陈默消息唤起过去，阿条感到疲惫。李晴留意细节并与阿力私下聊天，同事怀疑由隐约转为较明确。阿力走向楼梯间回避，阿条陷入不确定感。悬念：阿力为何突然回避？阿条是否将采取行动？,周一午休的食堂比平时安静；空调出风口嗡嗡响着，头顶日光灯管有一根在微微闪烁，照得打菜窗口的不锈钢台面泛出一层冷白色的光；阿条端着托盘跟在李晴身后，目光扫过靠窗那排座位——阿力还没来,她选了老位置，靠墙第二排，对面隔一个座位是空的；她没急着吃饭，先捧着杯子暖手，眼睛滴溜溜转了半圈，落在阿条身上；她继续拆包装，动作没停，把筷子抽出来，在碗沿上轻轻磕了两下对齐,,2026-07-01T15:22:15.596+00:00,2026-07-01T15:22:15.596+00:00
cmr28ct37054bv16zdtc7v3ac,cmr23pgks000fv16zpwg1ms38,cmr24zobt01rqv16zbto61e2r,阿条在阿力持续的回避和拒绝私下邀约中，从困惑转为不安。阿力拒绝眼神和暗语回应，并拒绝午餐。阿条在团建照片中看到阿力与小菲靠近，在食堂等待无果，发送“你稳？”无回复。阿条决定不再主动，结尾怀疑阿力在隐瞒什么，关系如履薄冰。,阿条端着那杯半价拿铁回到工位时，午休结束的提示音刚好在电脑右下角弹出来；阿条坐下去，把咖啡放在鼠标垫旁边，习惯性地瞄了一眼手机屏幕——依然没有新消息；下午的工作邮件像往常一样涌进来,李晴走在她前面，回头冲她笑了一下，虎牙一闪，然后拐进自己的隔间；她把手机翻过来，屏幕朝下；她的目光偶尔会越过显示器上沿，扫向斜前方阿力的工位——他还没回来,,2026-07-01T15:28:20.034+00:00,2026-07-01T15:28:20.034+00:00
cmr30u03f0aluv16z3z07imjv,cmr23pgks000fv16zpwg1ms38,cmr24zobw01rrv16zsmqcorpc,阿条打破不再主动的约定，在周六加班日的电梯里质问阿力是否在躲她，遭到“没有”“我加班”的冷漠敷衍。她赌气留在电梯内未追随，孤独返回工位，猜疑从模糊不安具体化为被冷落感。重拾陈默聚会邀请并确认参加，令对比感加深。深夜失眠中，她回忆陈默的告诫，翻出已读不回的消息，最终在凌晨做出决定：不再开口问，而要用另一种方式让阿力暴露真实态度，悬念指向即将到来的同事聚会。,阿条到公司的时候，整层楼只开了半边的灯；空调还没启动，空气里有股隔夜的沉闷，混着打印机的墨粉味和地板清洁剂的淡淡柠檬香；周六的办公室很安静，安静到能听见头顶日光灯管里电流的嗡鸣声,她把包放在工位上，打开电脑；屏幕亮起来的时候，她看见桌面右下角的时间——九点零七分；王总在群里发了条消息，说周报数据周五交得仓促，让各组核实一遍，十一点前汇总给他,,2026-07-02T04:45:31.515+00:00,2026-07-02T04:45:31.515+00:00
cmr314may0aowv16z288yq932,cmr23pgks000fv16zpwg1ms38,cmr24zoby01rsv16zxnuxclfi,阿条利用与小刘的互动测试阿力反应，阿力目光相撞后冷漠移开，确认疏远是主动选择。阿条收起笑容，内心将猜疑升级为对阿力隐瞒真相的执念，并决心不退出等待解释。结尾她独自在工位等待消息，每次手机震动都带来心跳加速，最终阿力只在群中公事公办回复，刺激其执念加深，为下章因敏感留意议论铺垫。,周日早晨的办公室安静得像一口倒扣的玻璃缸；阿条八点四十三分刷了门禁卡，工区的灯还没全开，空调出风口嗡嗡地送着冷气；黑眼圈还在，但眼神比昨晚清明得多,她把包放在工位上，先去茶水间接了杯温水，走回来的时候，余光习惯性地扫向阿力的位置；她坐回自己的椅子，打开电脑；屏幕亮起来的时候，她看见自己映在黑色边框上的脸,,2026-07-02T04:53:46.858+00:00,2026-07-02T04:53:46.858+00:00
cmr31ctaq0asjv16z52gxqklh,cmr23pgks000fv16zpwg1ms38,cmr24zoc001rtv16zdbja58rs,阿条在茶水间偷听到小菲与李晴议论阿力对某人异常冷淡，确认同事已察觉两人关系秘密。恐慌中她从被动等待转为主动回避，绕路、避开食堂、拒绝阿力的私下邀约，但内心等待解释的执念未消。李晴的关心与陈默聚会消息加剧压力，为质问阿力蓄势。,周一早上，阿条在电梯里就听见了自己的心跳；七点五十三分，写字楼大厅的人还不多；电梯门合上，楼层数字跳动,她刷卡过闸机，手指在屏幕上停留了半秒，余光扫过身后——没有熟悉的身影；她不知道自己在庆幸还是失望；她盯着不锈钢门板上自己模糊的倒影，想起昨晚手机震了三次,,2026-07-02T05:00:09.170+00:00,2026-07-02T05:00:09.170+00:00
cmr31m5rl0av5v16zwxbwo8z0,cmr23pgks000fv16zpwg1ms38,cmr24zoc101ruv16zr0qqiis6,阿条独自在出租屋，发微信直接质问阿力为何躲避。阿力仅回复“别多想，为大家好”后已读不回。阿条连续发送多条消息追问解释、表达委屈与愤怒，但始终没有得到回应，最终疲惫地说“我不会再发了”，并在黑暗中意识到自己明天仍会期待，预感更深冷暴力。李晴约明天午饭，陈默催聚会并透露阿力未回复。,出租屋很小，三十平米的单间，窗户对着另一栋楼的墙；手机被搁在床头柜上，屏幕朝上，信号满格；微信图标安静地待在通知栏里，没有数字，没有红点,她到家时没有开灯；她关门，换鞋，把包放在门口的椅子上，动作按部就班，像一套没有感情的机械程序；她已经连续五天绕开阿力的工位走,,2026-07-02T05:07:25.233+00:00,2026-07-02T05:07:25.233+00:00
cmr31u2t90ay2v16zcccnb4rx,cmr23pgks000fv16zpwg1ms38,cmr24zoc301rvv16zsof6hdh2,阿条在办公室对阿力进行最后一次眼神试探却遭彻底无视，决定不再主动联系。李晴主动关心并得知部分真相，阿条深夜失眠中经历刺痛并决心放下期待。第二天清晨她戴上“面具”预备上班，内心防御建立，为下一章同事试探做好准备。,阿条第二天走进办公室的时候，比平时早了十五分钟；打卡机发出短促的滴声，走廊里只有保洁阿姨在拖地，拖把擦过地砖的声响规律而遥远；饮水机咕噜噜响着，水位线缓慢爬升,她走到工位，把包放下，打开电脑；屏幕亮起来的时候，她看了眼阿力的工位——空的，椅背挂着他那件灰色外套，桌上放着保温杯，说明他已经到了，只是人不在；门口有人进来，她没抬头，但余光还是捕捉到了那个身影——深蓝衬衫，手腕上的棕色皮绳,,2026-07-02T05:13:34.653+00:00,2026-07-02T05:13:34.653+00:00
cmr320irk0b19v16z72ewcxjv,cmr23pgks000fv16zpwg1ms38,cmr24zoc501rwv16zvt0vmmu0,阿条面对小菲以榛果拿铁为借口的试探，从被动警觉转为冷静反问，识破咖啡温度异常与台词破绽，成功转移话题并确认同事间存在私下议论。通过李晴得知小菲昨日的异常，进一步明白试探并非孤立，决心在周六聚餐中与阿力保持距离以求不露破绽。结尾她扔掉凉咖啡，做好心理武装，聚餐压力隐隐浮现。,李晴的信息在十点十七分弹出来；“中午十二点，二号食堂靠窗那排，我占座；” 阿条盯着屏幕上那行字，手指悬在键盘上方停了两秒，然后敲下回复：“好,"她把手机屏幕朝下扣在桌面,继续整理王总要的数据汇总表；她新建了一个Excel窗口，把已有的部分先填进模板里，动作很稳，鼠标点击的节奏均匀得像节拍器；小菲的工位在她斜前方隔三个位置",,2026-07-02T05:18:35.264+00:00,2026-07-02T05:18:35.264+00:00
cmr3276su0b3ov16zcltwukyj,cmr23pgks000fv16zpwg1ms38,cmr24zoc701rxv16z1uyp5r52,阿条在团队聚餐全程执行疏离策略，主动远离阿力，零交流；阿力提前以家里急事为由离场，阿条佯装镇定圆场。散席后阿条独行夜路，内心从强撑平静转为冰冷麻木，回到黑暗房间等待渺茫的回应，为深夜手机亮起埋下悬念。,大巴在周六傍晚六点四十分准时停在公司楼下；阿条站在大厅玻璃门前，透过反光看见李晴从电梯间走出来；整个人看起来很素，像刻意不想被注意到,李晴今天换了件深蓝色针织开衫，手里拎着帆布袋，看见她就加快步子；”李晴走到她身边，压低声音，“我坐你旁边，放心；她今天穿的是一件灰色连帽卫衣，头发随意扎成低马尾，没怎么化妆，只涂了层润唇膏,,2026-07-02T05:23:46.350+00:00,2026-07-02T05:23:46.350+00:00
cmr32hs6a0b5sv16z0keltk7w,cmr23pgks000fv16zpwg1ms38,cmr24zoc901ryv16zxu2sbz7r,深夜阿力来电，阿条在黑暗中按掉电话，阅读留言后已读不回，内心完成从被动等待到主动切断期待的转折。王总邮件要求每日同步，明日九点进度对齐，她将被迫与阿力密集相处。关系由此从单向冷冻转为互相猜疑的僵局。,手机震动的声音从鞋柜方向传来；阿条在黑暗中睁开眼；客厅里的光条还是那条，冰箱压缩机还在嗡鸣，一切都没变，只有那个扣着的手机在发出持续的低频嗡鸣,她不知道什么时候闭上了，也不知道自己这样坐了多久；她站起来的时候膝盖有点僵，左脚踩到地板上有轻微的麻感；他的名字出现在屏幕上那一刻，阿条的手指僵在屏幕上方,,2026-07-02T05:32:00.610+00:00,2026-07-02T05:32:00.610+00:00
cmr32rvr60b8ev16z6e7nrh1x,cmr23pgks000fv16zpwg1ms38,cmr24zocb01rzv16zba9tkamt,阿条在茶水间主动质问阿力昨天消息与已读不回，阿力以工作话题回避，信任彻底破裂。九点进度对齐会上，两人被迫合作，阿条冷静应对。会后阿力试图关心被冷拒。阿条对合作通知麻木，决心不再试探。关系从表面和谐转为冰冷拉扯，为次日晨会碰撞蓄势。,阿条在九点差三分的时候走进茶水间；走得很慢，经过李晴工位时还停了半步，弯腰看了一眼李晴屏幕上那张数据表，说了句“这个单元格格式不对”；李晴抬头正要回话，阿条已经继续往前走了,不是因为渴，是因为她看见阿力端着杯子从工位站起来，往茶水间方向走了；她在工位上等了四十秒——数到三十七的时候站起来，拿起桌上那只白瓷杯，杯底还残留着昨天没倒干净的冷咖啡；她没去洗，直接握着杯子往茶水间走,,2026-07-02T05:39:51.810+00:00,2026-07-02T05:39:51.810+00:00
