id,snapshotId,holderType,holderRefId,fact,status,summary,createdAt,updatedAt
cmr269sr804b7v16zmg6761pl,cmr269sr004b3v16zvdhpsups,reader,,阿力用“演得不错”认可阿条，两人成为秘密共犯。,known,读者得知两人默契升级。,2026-07-01T14:30:00.404+00:00,2026-07-01T14:30:00.404+00:00
cmr269sr804b8v16zr24qur8r,cmr269sr004b3v16zvdhpsups,reader,,阿力发出夜晚邀约，阿条未即时回复。,known,读者处于悬念，期待后续发展。,2026-07-01T14:30:00.404+00:00,2026-07-01T14:30:00.404+00:00
cmr269sr804b9v16zyqx307pk,cmr269sr004b3v16zvdhpsups,character,,阿条声称没注意阿力，但她吃不准真假。,unknown,小菲怀疑但信息不足。,2026-07-01T14:30:00.404+00:00,2026-07-01T14:30:00.404+00:00
cmr26ffu204fgv16zg5hni5nr,cmr26feyn04ebv16zh84ifjuv,reader,,阿条和阿力正式确立秘密恋爱关系，制定三条规则及附加条件，约定明日食堂暗号。,known,读者掌握关系突破的关键信息。,2026-07-01T14:34:23.594+00:00,2026-07-01T14:34:23.594+00:00
cmr26pscm04msv16zmy4vrbji,cmr26psce04mov16zi89zlpdj,reader,,暗语系统包括九条基础暗语，新增菠萝包和明天的菜谱，食堂规则确定，阿力会偏移椅子。,known,读者知晓完整规则，期待明天食堂场景。,2026-07-01T14:42:26.374+00:00,2026-07-01T14:42:26.374+00:00
cmr26pscm04mtv16z9w31t3xa,cmr26psce04mov16zi89zlpdj,reader,,小菲在打印室撞见二人，食堂注意到阿条换座，但未识破秘密。,known,读者知道同事怀疑的种子已埋下。,2026-07-01T14:42:26.374+00:00,2026-07-01T14:42:26.374+00:00
cmr26y8r704ptv16zuxmpbbr9,cmr26y8qz04ppv16zakxqwzrs,reader,,阿条和阿力用暗语成功策划茶水间私会并脱险。,known,读者已掌握,2026-07-01T14:49:00.883+00:00,2026-07-01T14:49:00.883+00:00
cmr26y8r704puv16zhmflkghe,cmr26y8qz04ppv16zakxqwzrs,reader,,新增暗语规则：椅子偏移上限三厘米。,known,,2026-07-01T14:49:00.883+00:00,2026-07-01T14:49:00.883+00:00
cmr26y8r704pvv16z3w8jdf2y,cmr26y8qz04ppv16zakxqwzrs,reader,,阿条新增编码：芒果代表危险信号，菠萝包多义性。,known,,2026-07-01T14:49:00.883+00:00,2026-07-01T14:49:00.883+00:00
cmr274qy504sov16zpnziddnh,cmr274qxw04skv16zz42ick5d,reader,,阿条选择在暴露前沉溺于秘密游戏，且阿力同样享受这场游戏。,known,读者现在完全了解两人的心理状态，但角色之间仍有保留。,2026-07-01T14:54:04.397+00:00,2026-07-01T14:54:04.397+00:00
cmr274qy604spv16zci4a0byd,cmr274qxw04skv16zz42ick5d,character,,阿力同样享受这场游戏,known_by_character,阿条通过消息确认阿力也在享受，但不清楚对方的具体意图。,2026-07-01T14:54:04.397+00:00,2026-07-01T14:54:04.397+00:00
cmr27col304w9v16zkeerorpw,cmr27cokx04w6v16z86qss28o,reader,,阿条因小菲接近阿力产生嫉妒，决心在团建中冷处理阿力。,known,读者知道冷战即将开始，关系出现首次不和谐音。,2026-07-01T15:00:14.583+00:00,2026-07-01T15:00:14.583+00:00
cmr27yo2504ytv16zovutt4bd,cmr27yo1p04ynv16zhjb497sh,reader,,阿条对这场秘密关系的热情正在消退，开始意识到伪装带来的巨大代价。,known,读者了解到阿条的认知发生转折，为后续信任危机与心力交瘁埋下伏笔。,2026-07-01T15:17:20.333+00:00,2026-07-01T15:17:20.333+00:00
cmr27yo2504yuv16zo0zbk6pr,cmr27yo1p04ynv16zhjb497sh,reader,,小菲对阿力的追求已从试探变为公开，且阿力未表现出拒绝。,known,读者看到小菲行为升级，感到阿条的压力来源正在强化。,2026-07-01T15:17:20.333+00:00,2026-07-01T15:17:20.333+00:00
cmr284zxi051gv16zzspuwsv9,cmr284zx4051cv16zc77oi5jc,reader,,李晴在试探阿条的途中，留意到阿力行为异常，并可能私下与阿力沟通。,known,读者意识到同事怀疑已经从隐约变为较明确。,2026-07-01T15:22:15.654+00:00,2026-07-01T15:22:15.654+00:00
cmr284zxi051hv16zlezfjpsm,cmr284zx4051cv16zc77oi5jc,reader,,阿力拒绝阿条的当众接触，且没有给出任何暗语或眼神。,known,读者知道阿力在刻意保持距离。,2026-07-01T15:22:15.654+00:00,2026-07-01T15:22:15.654+00:00
cmr284zxi051iv16zkybnvap1,cmr284zx4051cv16zc77oi5jc,reader,,陈默下周六晚七点在湖滨烤肉店组织聚会，阿条答应参加。,known,读者得知聚会时间。,2026-07-01T15:22:15.654+00:00,2026-07-01T15:22:15.654+00:00
cmr28ct4v054rv16z3mgw7b18,cmr28ct4i054lv16zo559rqej,reader,,阿力持续回避阿条，并拒绝私下邀约，未回应暗语。,known,读者知道阿力回避，但原因未知。,2026-07-01T15:28:20.095+00:00,2026-07-01T15:28:20.095+00:00
cmr28ct4v054sv16ziuhjdcbv,cmr28ct4i054lv16zo559rqej,reader,,阿条决定不再主动发消息。,known,读者知道阿条进入消极观察状态。,2026-07-01T15:28:20.095+00:00,2026-07-01T15:28:20.095+00:00
cmr28mpu105a6v16zo526r4w3,cmr261wze048bv16zho19qw9d,reader,,阿条在茶水间推开阿力并说出“我们不能这样”，内心感到裂缝。,known,读者了解阿条的全部内心活动。,2026-07-01T15:36:02.377+00:00,2026-07-01T15:36:02.377+00:00
cmr30u04t0am3v16z4onfxnxz,cmr30u04i0alyv16ziqkumb3b,reader,,阿条已决定不再直接追问，转而策划一种能逼阿力暴露真实反应的方式，但具体手段尚未成形。,known,读者获知主角将转入主动测试阶段。,2026-07-02T04:45:31.565+00:00,2026-07-02T04:45:31.565+00:00
cmr30u04t0am4v16zygt8oqfx,cmr30u04i0alyv16ziqkumb3b,reader,,阿力用“我这不是在加班吗”等借口敷衍，维持冷漠人设，但内心动机成谜。,known,读者看到阿力回避的持续，但不知其内心。,2026-07-02T04:45:31.565+00:00,2026-07-02T04:45:31.565+00:00
cmr314mc30apcv16zyiotw8vd,cmr314mbp0ap4v16zn1dhge8z,reader,,阿条成功测试阿力并形成执念，阿力行为强化疏远但原因未明。,known,读者掌握两人状态变化的关键细节。,2026-07-02T04:53:46.899+00:00,2026-07-02T04:53:46.899+00:00
cmr31ctbx0asxv16z5h7j63n1,cmr31ctbm0asrv16z7xp7iw0m,reader,,阿条偷听到同事议论并开始主动回避，阿力私下联系被拒，同事怀疑升级。,known,读者知道关键角色信息差，阿力动机仍悬疑。,2026-07-02T05:00:09.213+00:00,2026-07-02T05:00:09.213+00:00
cmr31m5st0aviv16z8xd6d0sh,cmr31m5sk0avcv16zxfztsnkr,reader,,阿条发出多条质问后放弃，阿力全程冷处理，两人关系陷入更深僵局。,known,读者知道本章沟通完全失败，阿条已承诺不再主动发消息。,2026-07-02T05:07:25.277+00:00,2026-07-02T05:07:25.277+00:00
cmr31m5st0avjv16z1hd5yjjn,cmr31m5sk0avcv16zxfztsnkr,reader,,李晴约明天午饭，陈默聚会定在周六七点且阿力未回复。,known,读者知道外部事件即将介入，阿力仍对聚会沉默。,2026-07-02T05:07:25.277+00:00,2026-07-02T05:07:25.277+00:00
cmr31u2u90ayfv16zstfb6w89,cmr31u2u00ay9v16z0uqj1fsv,reader,,阿条向李晴坦白部分秘密，决定不再主动，阿力全面冷漠,known,读者得知阿条心理转折和李晴知情，关系进一步恶化。,2026-07-02T05:13:34.689+00:00,2026-07-02T05:13:34.689+00:00
cmr320ism0b1iv16zsxvfawj3,cmr320isd0b1gv16zy3msz950,reader,,小菲用咖啡试探阿条，阿条识破并利用反问转移话题。,known,读者知道试探事件全过程及阿条的应对。,2026-07-02T05:18:35.302+00:00,2026-07-02T05:18:35.302+00:00
cmr320ism0b1jv16zeg1q7ytz,cmr320isd0b1gv16zy3msz950,reader,,陈默透露阿力对办公室恋情告诫的反应极为冷淡。,known,读者获得关于阿力早期态度的侧面信息。,2026-07-02T05:18:35.302+00:00,2026-07-02T05:18:35.302+00:00
cmr3276ts0b3uv16zigbfs5u3,cmr3276tl0b3sv16zkevspf7x,reader,,阿力以家里急事为由离场，但真实性存疑,known,读者知道离场理由，但不确定是否真实,2026-07-02T05:23:46.384+00:00,2026-07-02T05:23:46.384+00:00
cmr32hs8d0b61v16zam3agfe7,cmr32hs830b5yv16znw2frbjt,reader,,阿力来电留言内容为“我想了很多”“睡了没？”，但动机不明；阿条已读不回。,known,读者知晓双方表面信息，但阿力真实心理仍模糊。,2026-07-02T05:32:00.685+00:00,2026-07-02T05:32:00.685+00:00
cmr32rvsn0b8pv16z1iphwb5c,cmr32rvs80b8lv16zhabe8v2u,reader,,阿力刻意选择在阿条到公司后回复邮件，回避实时沟通,known,读者察觉阿力在时间上制造距离,2026-07-02T05:39:51.863+00:00,2026-07-02T05:39:51.863+00:00
cmr32rvsn0b8qv16z4xskw3la,cmr32rvs80b8lv16zhabe8v2u,reader,,阿力会议后尝试用私人话题关心阿条，但被冰冷拒绝,known,读者看到阿力矛盾的一面,2026-07-02T05:39:51.863+00:00,2026-07-02T05:39:51.863+00:00
cmr32rvsn0b8rv16ztt3hbtu8,cmr32rvs80b8lv16zhabe8v2u,reader,,阿条彻底放弃试探，对次日合作通知毫无情绪波动,known,读者得知阿条情感关闭,2026-07-02T05:39:51.863+00:00,2026-07-02T05:39:51.863+00:00
cmr331ff30bbbv16zrwzmh7su,cmr331fes0bb5v16zv37i6ygc,reader,,阿条在绝望中积蓄情绪，决心打破现状。,known,读者知道阿条将采取行动，但不知具体方式。,2026-07-02T05:47:17.199+00:00,2026-07-02T05:47:17.199+00:00
cmr33awa00bdqv16za11hb8bm,cmr33aw9p0bdmv16z8bg0bkb6,reader,,阿力接听神秘电话时神情紧张，暗示有不可告人的联系。,known,读者知道阿力有一个隐秘紧急联系人，为后续剧情埋下伏笔。,2026-07-02T05:54:38.951+00:00,2026-07-02T05:54:38.951+00:00
cmr33lp0z0bgxv16zyjbuuej8,cmr33lp0r0bgvv16zeme52htz,reader,,阿力经常与一个备注名为“若若”的人联系，内容暧昧，且阿力极力隐藏。,known,读者和阿条都知道了若若的存在及阿力的异常反应。,2026-07-02T06:03:02.771+00:00,2026-07-02T06:03:02.771+00:00
cmr33lp0z0bgyv16zq8pgcuyw,cmr33lp0r0bgvv16zeme52htz,character,,阿力与若若的联系频率和内容暧昧，且他在团建时要求对方别再发消息。,known,阿条掌握关键怀疑线索，开始暗查。,2026-07-02T06:03:02.771+00:00,2026-07-02T06:03:02.771+00:00
cmr33lp0z0bgzv16zwm14gwf2,cmr33lp0r0bgvv16zeme52htz,character,,阿条可能已经注意到他的手机消息。,unknown,阿力尚未察觉阿条已看到若若消息并开始调查。,2026-07-02T06:03:02.771+00:00,2026-07-02T06:03:02.771+00:00
cmr33u1u50bjdv16z3ws6jana,cmr33u1ti0bjav16z3otjgb43,reader,,阿条已获取阿力手写号码笔迹证据并公开存号码，李晴目击阿力与若若可能的女生，若若身份即将暴露。,known,读者掌握了新线索，期待若若身份暴露。,2026-07-02T06:09:32.621+00:00,2026-07-02T06:09:32.621+00:00
cmr343uaj0blqv16znxoq68jz,cmr343uac0blmv16ztvilmjv6,reader,,阿力确实去过城西银泰并与若若同行，李晴目击属实；阿力对阿条撒了谎。,known,读者掌握阿力撒谎的客观事实，确认若若线索推进。,2026-07-02T06:17:09.403+00:00,2026-07-02T06:17:09.403+00:00
cmr34c3ky0bohv16zlr4w17r6,cmr34c3ko0bo9v16zv4g93jq3,reader,,阿条在聚餐中收到阿力微信消息“今天——”，但未点开。,known,读者知道阿力试图发送消息，但阿条尚不知内容。,2026-07-02T06:23:34.690+00:00,2026-07-02T06:23:34.690+00:00
cmr34c3ky0boiv16zaf29p0s7,cmr34c3ko0bo9v16zv4g93jq3,reader,,同事已明显感知阿条和阿力关系破裂。,known,职场半公开危机已形成。,2026-07-02T06:23:34.690+00:00,2026-07-02T06:23:34.690+00:00
cmr34c3ky0bojv16zha5u9znj,cmr34c3ko0bo9v16zv4g93jq3,reader,,阿条的红绳手链线头松动。,known,象征情感牵绊正在减弱。,2026-07-02T06:23:34.690+00:00,2026-07-02T06:23:34.690+00:00
cmr34l3dq0br6v16za909x968,cmr34l3df0br3v16z0yhypjym,reader,,红绳断裂且阿条未捡。,known,读者知道关键信物已被丢弃。,2026-07-02T06:30:34.334+00:00,2026-07-02T06:30:34.334+00:00
cmr34uhvb0btqv16zc36e4myn,cmr34uhv40btnv16zsw7onktd,reader,,阿条已彻底从心理上切断对阿力的情感依赖。,known,读者见证阿条完成心理切割。,2026-07-02T06:37:53.014+00:00,2026-07-02T06:37:53.014+00:00
cmr34uhvb0btrv16zs31pbs27,cmr34uhv40btnv16zsw7onktd,reader,,阿力因工作压力可能面临数据口径问题。,known,读者知道阿力被警告，暗示后续演示可能出错。,2026-07-02T06:37:53.014+00:00,2026-07-02T06:37:53.014+00:00
cmr35aypq0bxxv16z6trlfz4o,cmr35aypc0bxuv16zp7dbzfi5,reader,,阿条摔碎巧克力盒，红绳银坠子掉入木板缝隙，无法找回,known,读者知道象征情感的信物被彻底摧毁。,2026-07-02T06:50:41.342+00:00,2026-07-02T06:50:41.342+00:00
cmr35aypq0bxyv16z9nvj3ilf,cmr35aypc0bxuv16zp7dbzfi5,reader,,若若主动给阿条发微信，问下午三点是否有空,known,读者知道若若主动接触阿条，动机不明。,2026-07-02T06:50:41.342+00:00,2026-07-02T06:50:41.342+00:00
cmr35aypq0bxzv16zjvdh3pfx,cmr35aypc0bxuv16zp7dbzfi5,reader,,阿力承认有备用手机但坚决拒绝展示,known,读者确信阿力在隐瞒有关若若的重大秘密。,2026-07-02T06:50:41.342+00:00,2026-07-02T06:50:41.342+00:00
cmr35nump0c0tv16zwe0f5l87,cmr35nume0c0qv16zavwu8h97,reader,,阿条已完全删除手机中与阿力有关的所有内容。,known,读者目睹删除全过程。,2026-07-02T07:00:42.577+00:00,2026-07-02T07:00:42.577+00:00
cmr35nump0c0uv16z3tcqynvt,cmr35nume0c0qv16zavwu8h97,character,,阿条已删除与他所有数字关联并联系了若若。,unknown,阿力对阿条的行动一无所知。,2026-07-02T07:00:42.577+00:00,2026-07-02T07:00:42.577+00:00
cmr35y9nz0c3rv16zy6t1ctdo,cmr35y9no0c3mv16z6m7aivl0,reader,,阿条不再佩戴红绳手链，收起新发夹。,known,读者知道阿条完成了象征性的情感切割。,2026-07-02T07:08:48.623+00:00,2026-07-02T07:08:48.623+00:00
cmr35y9nz0c3sv16zsdy390cz,cmr35y9no0c3mv16z6m7aivl0,reader,,阿条与若若的见面时间地点已定。,known,读者知道下一步冲突即将发生。,2026-07-02T07:08:48.623+00:00,2026-07-02T07:08:48.623+00:00
cmr36aeh40c6yv16ztrhudeiz,cmr36aegt0c6sv16zguv4id1c,reader,,阿条与阿力关系彻底破裂，她收拾信物离开公司，将独自面对与若若的见面。,known,读者知道信任完全粉碎，故事转向主角独自前行。,2026-07-02T07:18:14.728+00:00,2026-07-02T07:18:14.728+00:00
cmr36ggim0c9jv16zxrw9idpa,cmr36ggif0c9hv16zzkjv2nfi,reader,,阿条已完成与阿力的彻底切割，信任完全粉碎，关系不可逆终结。,known,读者知晓阿条内心决绝的完整过程。,2026-07-02T07:22:57.310+00:00,2026-07-02T07:22:57.310+00:00
cmr8kfzka0d21v16zmign3yec,cmr8kfzjv0d1wv16z18hprr9b,reader,,阿条与阿力全天零交流，同事开始察觉异常，但不知内情。,known,读者知道裂痕从内心推至外部观察。,2026-07-06T01:53:20.842+00:00,2026-07-06T01:53:20.842+00:00
cmr8kkw810d4fv16zafsrb0en,cmr8kkw7m0d4cv16z5s67dhfm,reader,,团建通知导致强制共处，阿条回避策略即将失效。,known,读者掌握团建带来的压力升级。,2026-07-06T01:57:09.793+00:00,2026-07-06T01:57:09.793+00:00
cmr8ktuc40d6uv16zwozadn91,cmr8ktubn0d6qv16zm30pynbs,reader,,阿力通过五张便签和公务化措辞完成交接，两人关系已转为纯粹的工作流程，团建补充通知使暴露风险大幅上升。,known,读者看到隔离的具体形态和团建带来的新压迫。,2026-07-06T02:04:07.252+00:00,2026-07-06T02:04:07.252+00:00
cmr8ktuc40d6vv16z6kurdylw,cmr8ktubn0d6qv16zm30pynbs,character,,自己全天未与阿力说话，一切沟通被便签和邮件替代，关系已无私人痕迹。,known,阿条切身感受到制度性冷漠，在电梯中意识到语言隔离终结了所有暗号。,2026-07-06T02:04:07.252+00:00,2026-07-06T02:04:07.252+00:00
cmr8ktuc40d6wv16zloffxz46,cmr8ktubn0d6qv16zm30pynbs,character,,阿力开始用便签与阿条沟通，两人只走工作流程。,known,李晴观察到了隔离现象并直接询问，得知两人状态。,2026-07-06T02:04:07.252+00:00,2026-07-06T02:04:07.252+00:00
cmr8l12z30d9vv16zytqhpotc,cmr8l12yw0d9qv16z0tx8ms6j,reader,,阿条已彻底切割，但阿力不知道阿条内心的决断。,known,读者获知阿条的心理转折和具体行动，形成信息差。,2026-07-06T02:09:45.039+00:00,2026-07-06T02:09:45.039+00:00
cmr8l12z30d9wv16zyl0vhr7j,cmr8l12yw0d9qv16z0tx8ms6j,reader,,团建自主分组和随机住宿可能迫使阿条与阿力在密闭空间共处。,known,读者预见到团建危机。,2026-07-06T02:09:45.039+00:00,2026-07-06T02:09:45.039+00:00
cmr8lamu70dckv16ztp4f24yb,cmr8lamty0dcev16zjzob7599,reader,,阿条发现阿力可能在寻找退路，并准备红裙试探。,known,读者知道阿条将在团建中采取行动。,2026-07-06T02:17:10.687+00:00,2026-07-06T02:17:10.687+00:00
cmr8lamu70dclv16zmp0omnkl,cmr8lamty0dcev16zjzob7599,character,,阿力一周前问过陈默上海招聘市场，手机搜索记录疑似阿力所为。,known,阿条掌握了部分证据，但未确认。,2026-07-06T02:17:10.687+00:00,2026-07-06T02:17:10.687+00:00
cmr8lamu80dcmv16zfuualtbx,cmr8lamty0dcev16zjzob7599,character,,阿条正在查证和准备试探。,hidden,阿力不知道阿条的发现和计划。,2026-07-06T02:17:10.687+00:00,2026-07-06T02:17:10.687+00:00
cmr8ljtl80dfev16zugbyxxhz,cmr8ljtl10dfcv16zselcftc2,reader,,阿条已将红裙折入行李箱，准备在团建晚间活动穿着。,known,读者知道红裙计划。,2026-07-06T02:24:19.339+00:00,2026-07-06T02:24:19.339+00:00
cmr8ljtl80dffv16zudzhn85e,cmr8ljtl10dfcv16zselcftc2,character,,她已截图留档、废除暗语、删除聊天，完成绝情准备。,known,阿条掌控所有关键信息。,2026-07-06T02:24:19.339+00:00,2026-07-06T02:24:19.339+00:00
cmr8ljtl80dfgv16zel4jy6i3,cmr8ljtl10dfcv16zselcftc2,character,,阿条决定穿红裙参加团建。,unknown,阿力不知道阿条的红裙计划。,2026-07-06T02:24:19.339+00:00,2026-07-06T02:24:19.339+00:00
cmr8lt4i00dipv16zoejsz229,cmr8lt4hp0dinv16ztw5fne9q,reader,,阿力以“特殊原因”取得单人间，但具体原因未知；阿条房间紧邻，拼房名单尚未公布。,known,读者与阿条同步感到不安，悬念集中在即将揭晓的拼房分配。,2026-07-06T02:31:33.383+00:00,2026-07-06T02:31:33.383+00:00
